data,conta,categoria,subcategoria,tipo,valor,centro_custo,descricao
2024-09-07,Zov,Impostos,DAS,Despesa,12135,RH,Lançamento
2024-05-08,Mdias,Pessoal,Encargos,Despesa,8011,Comercial,Lançamento
2024-08-23,Zov,Impostos,INSS,Despesa,2130,Comercial,Lançamento
2024-11-18,Zov,Receita de Serviços,BPO RH,Receita,3136,RH,Mensalidade
2024-11-20,Mdias,Receita de Serviços,Contabilidade,Receita,6657,Operacional,Mensalidade
2024-12-22,Mdias,Operacional,Infra,Despesa,7481,Operacional,Lançamento
2024-10-26,Zov,Receita de Serviços,Certificado Digital,Receita,12486,Marketing,Mensalidade
2024-12-17,Mdias,Receita de Serviços,Contabilidade,Receita,19973,Operacional,Mensalidade
2024-08-20,Mdias,Operacional,Infra,Despesa,9646,Operacional,Lançamento
2024-01-14,Papaya,Operacional,Infra,Despesa,10363,Marketing,Lançamento
2024-11-04,Mdias,Marketing,Agência,Despesa,11603,Operacional,Lançamento
2024-06-07,Mdias,Pessoal,Benefícios,Despesa,8773,RH,Lançamento
2024-12-03,Zov,Marketing,Eventos,Despesa,7817,Financeiro,Lançamento
2024-09-22,Mdias,Receita de Serviços,Contabilidade,Receita,5242,Financeiro,Mensalidade
2024-07-27,Papaya,Pessoal,Encargos,Despesa,11618,Operacional,Lançamento
2024-04-24,Papaya,Impostos,DAS,Despesa,11028,Comercial,Lançamento
2024-05-14,Papaya,Pessoal,Salários,Despesa,7662,Marketing,Lançamento
2024-02-04,Mdias,Pessoal,Salários,Despesa,8369,Operacional,Lançamento
2024-09-16,Papaya,Receita de Serviços,BPO RH,Receita,2714,RH,Mensalidade
2024-05-23,Papaya,Receita de Serviços,BPO RH,Receita,11350,Operacional,Mensalidade
2024-11-03,Papaya,Receita de Serviços,BPO RH,Despesa,4214,Operacional,Lançamento
2024-08-11,Papaya,Receita de Serviços,BPO Financeiro,Receita,14398,RH,Mensalidade
2024-11-22,Mdias,Receita de Serviços,BPO Financeiro,Despesa,5403,RH,Lançamento
2024-09-19,Mdias,Receita de Serviços,Contabilidade,Receita,16193,Comercial,Mensalidade
2024-12-25,Papaya,Impostos,CSLL,Despesa,1694,Operacional,Lançamento
2024-03-12,Zov,Marketing,Meta Ads,Despesa,9917,RH,Lançamento
2024-01-05,Zov,Receita de Serviços,Contabilidade,Despesa,1613,Financeiro,Lançamento
2024-03-08,Zov,Impostos,CSLL,Despesa,2575,Marketing,Lançamento
2024-09-16,Zov,Operacional,Infra,Despesa,1509,Financeiro,Lançamento
2024-04-13,Papaya,Receita de Serviços,Certificado Digital,Receita,18469,RH,Mensalidade
2024-11-01,Zov,Receita de Serviços,Certificado Digital,Receita,17161,Comercial,Mensalidade
2024-11-18,Zov,Receita de Serviços,Contabilidade,Receita,11032,Marketing,Mensalidade
2024-07-13,Papaya,Impostos,CSLL,Despesa,2255,Operacional,Lançamento
2024-01-23,Mdias,Pessoal,Encargos,Despesa,1893,Comercial,Lançamento
2024-05-10,Mdias,Receita de Serviços,BPO Financeiro,Receita,4212,Comercial,Mensalidade
2024-09-28,Papaya,Receita de Serviços,Contabilidade,Receita,14954,Comercial,Mensalidade
2024-09-20,Zov,Marketing,Google Ads,Despesa,11713,Operacional,Lançamento
2024-09-02,Mdias,Marketing,Meta Ads,Despesa,10889,Financeiro,Lançamento
2024-01-22,Papaya,Receita de Serviços,BPO Financeiro,Receita,6337,Financeiro,Mensalidade
2024-09-20,Zov,Receita de Serviços,Contabilidade,Receita,4464,Comercial,Mensalidade
2024-09-01,Papaya,Marketing,Google Ads,Despesa,10855,Financeiro,Lançamento
2024-07-01,Zov,Receita de Serviços,BPO RH,Receita,16976,Marketing,Mensalidade
2024-02-21,Zov,Receita de Serviços,BPO Financeiro,Receita,6384,Comercial,Mensalidade
2024-12-13,Papaya,Impostos,INSS,Despesa,3852,Marketing,Lançamento
2024-08-27,Mdias,Receita de Serviços,BPO Financeiro,Receita,4457,Comercial,Mensalidade
2024-11-17,Papaya,Marketing,Meta Ads,Despesa,10982,Operacional,Lançamento
2024-01-08,Mdias,Impostos,CSLL,Despesa,11519,RH,Lançamento
2024-06-01,Mdias,Receita de Serviços,BPO Financeiro,Receita,2693,RH,Mensalidade
2024-02-18,Mdias,Impostos,IRPJ,Despesa,8007,Operacional,Lançamento
2024-01-28,Mdias,Operacional,SaaS,Despesa,3676,Comercial,Lançamento
2024-01-05,Mdias,Receita de Serviços,BPO Financeiro,Receita,18528,Comercial,Mensalidade
2024-05-13,Mdias,Receita de Serviços,BPO Financeiro,Receita,9589,Marketing,Mensalidade
2024-04-28,Zov,Receita de Serviços,Contabilidade,Receita,4542,RH,Mensalidade
2024-05-17,Zov,Receita de Serviços,BPO RH,Receita,10468,RH,Mensalidade
2024-10-27,Mdias,Receita de Serviços,BPO RH,Receita,11224,Marketing,Mensalidade
2024-08-27,Papaya,Receita de Serviços,Contabilidade,Receita,16425,Comercial,Mensalidade
2024-10-17,Papaya,Operacional,SaaS,Despesa,1222,RH,Lançamento
2024-02-28,Mdias,Receita de Serviços,BPO Financeiro,Receita,5085,Operacional,Mensalidade
2024-04-23,Papaya,Receita de Serviços,Contabilidade,Receita,17038,Operacional,Mensalidade
2024-05-28,Papaya,Pessoal,Salários,Despesa,9695,Comercial,Lançamento
2024-10-22,Zov,Marketing,Google Ads,Despesa,8896,Marketing,Lançamento
2024-08-26,Papaya,Receita de Serviços,BPO Financeiro,Receita,8997,Comercial,Mensalidade
2024-05-18,Zov,Receita de Serviços,BPO RH,Receita,15720,RH,Mensalidade
2024-10-06,Papaya,Receita de Serviços,BPO RH,Receita,6865,Comercial,Mensalidade
2024-12-14,Papaya,Receita de Serviços,BPO RH,Receita,3218,Operacional,Mensalidade
2024-06-12,Papaya,Pessoal,Salários,Despesa,4812,Financeiro,Lançamento
2024-02-01,Zov,Receita de Serviços,BPO RH,Receita,18804,Marketing,Mensalidade
2024-12-11,Papaya,Receita de Serviços,BPO RH,Receita,8896,Financeiro,Mensalidade
2024-06-13,Papaya,Receita de Serviços,Contabilidade,Receita,17980,RH,Mensalidade
2024-09-19,Papaya,Operacional,Fornecedor,Despesa,8427,Comercial,Lançamento
2024-04-08,Papaya,Receita de Serviços,BPO Financeiro,Despesa,9271,Operacional,Lançamento
2024-01-18,Mdias,Receita de Serviços,BPO RH,Receita,11719,Comercial,Mensalidade
2024-01-03,Papaya,Marketing,Google Ads,Despesa,8889,Comercial,Lançamento
2024-01-02,Zov,Receita de Serviços,Contabilidade,Receita,3543,Financeiro,Mensalidade
2024-02-12,Zov,Marketing,Agência,Despesa,5014,Comercial,Lançamento
2024-02-04,Mdias,Pessoal,Encargos,Despesa,5201,Financeiro,Lançamento
2024-12-14,Zov,Receita de Serviços,Contabilidade,Despesa,10778,RH,Lançamento
2024-09-05,Papaya,Receita de Serviços,Certificado Digital,Receita,13580,Marketing,Mensalidade
2024-03-04,Papaya,Receita de Serviços,Contabilidade,Receita,16527,Comercial,Mensalidade
2024-06-11,Mdias,Receita de Serviços,Certificado Digital,Receita,19190,Marketing,Mensalidade
2024-11-14,Zov,Operacional,Fornecedor,Despesa,5364,RH,Lançamento
2024-03-23,Mdias,Receita de Serviços,Certificado Digital,Receita,14290,Comercial,Mensalidade
2024-12-24,Mdias,Pessoal,Benefícios,Despesa,8321,Comercial,Lançamento
2024-03-01,Zov,Operacional,Fornecedor,Despesa,4543,RH,Lançamento
2024-02-16,Zov,Marketing,Eventos,Despesa,2682,Comercial,Lançamento
2024-12-01,Zov,Marketing,Google Ads,Despesa,9729,RH,Lançamento
2024-02-20,Papaya,Receita de Serviços,Contabilidade,Receita,10624,Marketing,Mensalidade
2024-07-26,Mdias,Pessoal,Benefícios,Despesa,1523,Comercial,Lançamento
2024-05-28,Papaya,Receita de Serviços,Contabilidade,Receita,16625,Comercial,Mensalidade
2024-06-27,Zov,Receita de Serviços,Certificado Digital,Receita,16991,Operacional,Mensalidade
2024-11-14,Mdias,Operacional,Fornecedor,Despesa,5584,Financeiro,Lançamento
2024-10-04,Zov,Receita de Serviços,BPO Financeiro,Despesa,11461,Comercial,Lançamento
2024-01-17,Mdias,Receita de Serviços,BPO Financeiro,Despesa,7577,Marketing,Lançamento
2024-03-02,Mdias,Receita de Serviços,BPO RH,Receita,18563,Operacional,Mensalidade
2024-01-21,Zov,Receita de Serviços,Certificado Digital,Receita,12540,Marketing,Mensalidade
2024-02-25,Zov,Marketing,Meta Ads,Despesa,10405,Operacional,Lançamento
2024-11-03,Zov,Receita de Serviços,Certificado Digital,Receita,15436,Financeiro,Mensalidade
2024-08-26,Zov,Pessoal,Encargos,Despesa,5516,Operacional,Lançamento
2024-01-19,Mdias,Marketing,Agência,Despesa,8066,Marketing,Lançamento
2024-09-18,Papaya,Marketing,Eventos,Despesa,1591,Operacional,Lançamento
2024-02-23,Mdias,Marketing,Agência,Despesa,1474,Financeiro,Lançamento
2024-03-11,Zov,Receita de Serviços,Certificado Digital,Receita,2967,RH,Mensalidade
2024-07-06,Zov,Impostos,CSLL,Despesa,2478,Marketing,Lançamento
2024-12-04,Mdias,Operacional,Fornecedor,Despesa,3442,Operacional,Lançamento
2024-09-20,Zov,Impostos,IRPJ,Despesa,4498,RH,Lançamento
2024-08-12,Zov,Receita de Serviços,Contabilidade,Receita,14070,Financeiro,Mensalidade
2024-12-01,Mdias,Marketing,Eventos,Despesa,6028,Comercial,Lançamento
2024-01-05,Mdias,Receita de Serviços,Certificado Digital,Receita,4055,Comercial,Mensalidade
2024-12-17,Papaya,Receita de Serviços,BPO Financeiro,Receita,18779,Marketing,Mensalidade
2024-03-09,Mdias,Receita de Serviços,BPO Financeiro,Receita,10587,RH,Mensalidade
2024-03-12,Zov,Marketing,Eventos,Despesa,7466,Financeiro,Lançamento
2024-04-23,Papaya,Operacional,Infra,Despesa,8772,Comercial,Lançamento
2024-09-24,Mdias,Receita de Serviços,Contabilidade,Receita,2426,Operacional,Mensalidade
2024-09-13,Mdias,Receita de Serviços,Certificado Digital,Despesa,11272,Comercial,Lançamento
2024-07-12,Papaya,Receita de Serviços,BPO Financeiro,Receita,8798,Operacional,Mensalidade
2024-02-12,Papaya,Pessoal,Benefícios,Despesa,5035,Marketing,Lançamento
2024-05-18,Zov,Operacional,SaaS,Despesa,7325,Financeiro,Lançamento
2024-08-13,Zov,Marketing,Google Ads,Despesa,8868,Operacional,Lançamento
2024-12-23,Zov,Receita de Serviços,Contabilidade,Receita,9128,Financeiro,Mensalidade
2024-09-12,Zov,Pessoal,Salários,Despesa,9531,RH,Lançamento
2024-10-23,Papaya,Operacional,SaaS,Despesa,4627,Comercial,Lançamento
2024-06-05,Mdias,Receita de Serviços,Contabilidade,Receita,17420,Marketing,Mensalidade
2024-10-28,Papaya,Receita de Serviços,Certificado Digital,Receita,2359,Financeiro,Mensalidade
2024-06-13,Papaya,Receita de Serviços,BPO Financeiro,Receita,14632,Marketing,Mensalidade
2024-07-25,Mdias,Receita de Serviços,Contabilidade,Receita,17151,Financeiro,Mensalidade
2024-12-18,Mdias,Operacional,SaaS,Despesa,7062,Marketing,Lançamento
2024-01-04,Papaya,Impostos,CSLL,Despesa,4697,Operacional,Lançamento
2024-10-14,Zov,Receita de Serviços,Certificado Digital,Receita,7483,Marketing,Mensalidade
2024-05-05,Zov,Receita de Serviços,Certificado Digital,Receita,6859,Operacional,Mensalidade
2024-08-03,Papaya,Receita de Serviços,BPO RH,Despesa,4756,RH,Lançamento
2024-01-03,Zov,Marketing,Eventos,Despesa,4413,Comercial,Lançamento
2024-01-17,Mdias,Receita de Serviços,BPO RH,Receita,19651,Comercial,Mensalidade
2024-09-15,Mdias,Receita de Serviços,Contabilidade,Receita,14190,Operacional,Mensalidade
2024-03-28,Zov,Receita de Serviços,BPO RH,Despesa,892,RH,Lançamento
2024-10-12,Papaya,Receita de Serviços,BPO Financeiro,Despesa,7464,Financeiro,Lançamento
2024-07-01,Papaya,Pessoal,Salários,Despesa,4882,Comercial,Lançamento
2024-09-20,Papaya,Receita de Serviços,BPO RH,Receita,17348,Operacional,Mensalidade
2024-04-27,Mdias,Marketing,Google Ads,Despesa,7988,Comercial,Lançamento
2024-10-10,Zov,Marketing,Agência,Despesa,6913,Comercial,Lançamento
2024-10-09,Papaya,Pessoal,Benefícios,Despesa,5709,Financeiro,Lançamento
2024-08-01,Mdias,Receita de Serviços,BPO RH,Receita,8320,Financeiro,Mensalidade
2024-06-23,Papaya,Receita de Serviços,Contabilidade,Receita,10320,Financeiro,Mensalidade
2024-12-25,Zov,Receita de Serviços,BPO RH,Receita,9220,RH,Mensalidade
2024-02-04,Mdias,Receita de Serviços,BPO Financeiro,Receita,8822,Financeiro,Mensalidade
2024-08-15,Zov,Receita de Serviços,Contabilidade,Receita,10875,Financeiro,Mensalidade
2024-07-18,Papaya,Receita de Serviços,BPO Financeiro,Despesa,1061,Financeiro,Lançamento
2024-11-19,Zov,Receita de Serviços,BPO Financeiro,Receita,3504,Comercial,Mensalidade
2024-01-11,Mdias,Receita de Serviços,Certificado Digital,Despesa,7484,Marketing,Lançamento
2024-02-28,Mdias,Pessoal,Encargos,Despesa,4574,RH,Lançamento
2024-03-20,Papaya,Receita de Serviços,Certificado Digital,Receita,7717,Marketing,Mensalidade
2024-06-02,Mdias,Receita de Serviços,Contabilidade,Receita,7861,RH,Mensalidade
2024-01-06,Papaya,Operacional,SaaS,Despesa,10590,Financeiro,Lançamento
2024-02-26,Papaya,Receita de Serviços,Certificado Digital,Despesa,10005,Financeiro,Lançamento
2024-02-13,Zov,Operacional,Ferramentas,Despesa,3864,Operacional,Lançamento
2024-04-04,Zov,Operacional,SaaS,Despesa,7542,Marketing,Lançamento
2024-06-24,Zov,Receita de Serviços,BPO Financeiro,Receita,4591,Operacional,Mensalidade
2024-04-12,Mdias,Impostos,INSS,Despesa,5819,Operacional,Lançamento
2024-12-15,Zov,Operacional,Fornecedor,Despesa,5074,RH,Lançamento
2024-05-18,Papaya,Operacional,Ferramentas,Despesa,2508,Comercial,Lançamento
2024-12-25,Mdias,Receita de Serviços,Contabilidade,Receita,14517,Operacional,Mensalidade
2024-06-12,Papaya,Receita de Serviços,Contabilidade,Receita,14614,Financeiro,Mensalidade
2024-08-22,Zov,Receita de Serviços,Contabilidade,Receita,6623,Comercial,Mensalidade
2024-04-03,Mdias,Operacional,Infra,Despesa,1194,Operacional,Lançamento
2024-11-01,Papaya,Receita de Serviços,Certificado Digital,Receita,2716,Comercial,Mensalidade
2024-06-14,Papaya,Receita de Serviços,BPO RH,Despesa,8160,RH,Lançamento
2024-09-10,Mdias,Impostos,DAS,Despesa,9319,Financeiro,Lançamento
2024-03-19,Mdias,Receita de Serviços,BPO Financeiro,Receita,3166,Comercial,Mensalidade
2024-11-04,Zov,Receita de Serviços,Contabilidade,Despesa,11748,RH,Lançamento
2024-02-25,Mdias,Receita de Serviços,Contabilidade,Receita,6861,Operacional,Mensalidade
2024-02-12,Papaya,Marketing,Meta Ads,Despesa,1202,Marketing,Lançamento
2024-08-07,Mdias,Operacional,Infra,Despesa,8420,Financeiro,Lançamento
2024-05-11,Mdias,Receita de Serviços,BPO Financeiro,Receita,11254,Financeiro,Mensalidade
2024-03-17,Mdias,Pessoal,Salários,Despesa,2610,Comercial,Lançamento
2024-07-14,Zov,Receita de Serviços,BPO Financeiro,Receita,13904,Comercial,Mensalidade
2024-08-11,Zov,Receita de Serviços,BPO Financeiro,Despesa,3276,Marketing,Lançamento
2024-12-02,Papaya,Receita de Serviços,Certificado Digital,Receita,2207,Marketing,Mensalidade
2024-10-10,Zov,Impostos,CSLL,Despesa,11011,Operacional,Lançamento
2024-11-08,Zov,Impostos,CSLL,Despesa,2512,Operacional,Lançamento
2024-11-11,Mdias,Receita de Serviços,Contabilidade,Receita,17423,Operacional,Mensalidade
2024-02-21,Zov,Receita de Serviços,Contabilidade,Receita,2661,Marketing,Mensalidade
2024-06-14,Mdias,Receita de Serviços,BPO Financeiro,Receita,12469,Operacional,Mensalidade
2024-11-17,Mdias,Marketing,Eventos,Despesa,7910,RH,Lançamento
2024-07-08,Zov,Receita de Serviços,BPO Financeiro,Receita,7949,Operacional,Mensalidade
2024-08-03,Zov,Receita de Serviços,BPO RH,Receita,9876,Operacional,Mensalidade
2024-06-03,Papaya,Receita de Serviços,Certificado Digital,Receita,5949,Marketing,Mensalidade
2024-06-16,Zov,Receita de Serviços,Contabilidade,Receita,6345,Marketing,Mensalidade
2024-03-20,Papaya,Receita de Serviços,Contabilidade,Despesa,3642,RH,Lançamento
2024-12-03,Papaya,Operacional,Infra,Despesa,4129,Marketing,Lançamento
2024-05-01,Papaya,Receita de Serviços,Contabilidade,Receita,12020,Operacional,Mensalidade
2024-05-13,Zov,Receita de Serviços,Contabilidade,Receita,10741,Marketing,Mensalidade
2024-02-03,Mdias,Receita de Serviços,BPO Financeiro,Despesa,1410,Financeiro,Lançamento
2024-08-25,Mdias,Pessoal,Encargos,Despesa,1223,RH,Lançamento
2024-05-21,Zov,Receita de Serviços,Certificado Digital,Receita,3825,Financeiro,Mensalidade
2024-07-22,Papaya,Receita de Serviços,BPO RH,Receita,4466,RH,Mensalidade
2024-11-15,Mdias,Receita de Serviços,Contabilidade,Receita,18440,Marketing,Mensalidade
2024-06-22,Papaya,Receita de Serviços,BPO Financeiro,Receita,8404,RH,Mensalidade
2024-03-13,Mdias,Receita de Serviços,BPO RH,Receita,4287,Marketing,Mensalidade
2024-11-06,Mdias,Impostos,INSS,Despesa,2876,Financeiro,Lançamento
2024-10-23,Zov,Receita de Serviços,Certificado Digital,Despesa,7769,Financeiro,Lançamento
2024-12-09,Papaya,Receita de Serviços,Certificado Digital,Receita,2887,Comercial,Mensalidade
2024-01-02,Mdias,Marketing,Eventos,Despesa,8275,Marketing,Lançamento
2024-03-18,Mdias,Operacional,SaaS,Despesa,641,Marketing,Lançamento
2024-06-14,Zov,Receita de Serviços,BPO RH,Receita,18649,Marketing,Mensalidade
2024-11-07,Mdias,Operacional,Ferramentas,Despesa,4299,Comercial,Lançamento
2024-08-05,Papaya,Receita de Serviços,BPO Financeiro,Receita,11786,RH,Mensalidade
2024-07-05,Papaya,Receita de Serviços,BPO RH,Receita,4463,Financeiro,Mensalidade
2024-03-20,Papaya,Pessoal,Benefícios,Despesa,3004,RH,Lançamento
2024-10-15,Zov,Receita de Serviços,Certificado Digital,Receita,14138,Comercial,Mensalidade
2024-03-03,Mdias,Receita de Serviços,BPO RH,Receita,7578,Comercial,Mensalidade
2024-09-03,Zov,Receita de Serviços,Contabilidade,Receita,8259,RH,Mensalidade
2024-09-13,Zov,Operacional,Infra,Despesa,9321,RH,Lançamento
2024-06-09,Zov,Pessoal,Salários,Despesa,9256,Comercial,Lançamento
2024-06-25,Zov,Marketing,Eventos,Despesa,3891,Comercial,Lançamento
2024-09-26,Mdias,Receita de Serviços,Contabilidade,Receita,15669,Marketing,Mensalidade
2024-05-08,Zov,Receita de Serviços,Certificado Digital,Receita,10517,Marketing,Mensalidade
2024-07-27,Papaya,Receita de Serviços,Certificado Digital,Receita,11995,Marketing,Mensalidade
2024-10-06,Zov,Receita de Serviços,BPO RH,Receita,13490,Financeiro,Mensalidade
2024-07-11,Mdias,Pessoal,Encargos,Despesa,8928,Marketing,Lançamento
2024-10-16,Mdias,Marketing,Meta Ads,Despesa,1488,Marketing,Lançamento
2024-10-28,Zov,Receita de Serviços,Certificado Digital,Despesa,3975,Operacional,Lançamento
2024-11-14,Zov,Impostos,DAS,Despesa,2235,Marketing,Lançamento
2024-02-09,Mdias,Receita de Serviços,BPO RH,Receita,17710,Comercial,Mensalidade
2024-04-08,Mdias,Receita de Serviços,Certificado Digital,Receita,4928,Financeiro,Mensalidade
2024-12-07,Zov,Receita de Serviços,BPO RH,Receita,11660,Financeiro,Mensalidade
2024-01-25,Mdias,Receita de Serviços,Contabilidade,Receita,11617,Operacional,Mensalidade
2024-07-26,Papaya,Receita de Serviços,BPO Financeiro,Receita,3488,Comercial,Mensalidade
2024-10-05,Zov,Receita de Serviços,BPO RH,Receita,18290,Marketing,Mensalidade
2024-10-17,Mdias,Operacional,SaaS,Despesa,12094,Operacional,Lançamento
2024-03-07,Mdias,Receita de Serviços,BPO Financeiro,Receita,4356,Financeiro,Mensalidade
2024-08-13,Papaya,Marketing,Google Ads,Despesa,6312,Financeiro,Lançamento
2024-08-18,Zov,Receita de Serviços,Certificado Digital,Receita,8582,Financeiro,Mensalidade
2024-12-08,Mdias,Operacional,Infra,Despesa,8760,Financeiro,Lançamento
2024-07-01,Zov,Receita de Serviços,BPO RH,Receita,4225,Financeiro,Mensalidade
2024-08-13,Mdias,Receita de Serviços,Certificado Digital,Despesa,7052,Financeiro,Lançamento
2024-06-25,Zov,Pessoal,Benefícios,Despesa,4300,Comercial,Lançamento
2024-05-18,Zov,Receita de Serviços,Contabilidade,Receita,2075,Marketing,Mensalidade
2024-12-14,Mdias,Receita de Serviços,Contabilidade,Receita,9961,Financeiro,Mensalidade
2024-05-19,Zov,Marketing,Eventos,Despesa,11615,Marketing,Lançamento
2024-10-20,Zov,Operacional,Infra,Despesa,4948,Operacional,Lançamento
2024-10-08,Papaya,Marketing,Meta Ads,Despesa,5360,Marketing,Lançamento
2024-11-18,Papaya,Receita de Serviços,BPO Financeiro,Receita,16082,RH,Mensalidade
2024-02-27,Papaya,Receita de Serviços,Certificado Digital,Receita,12792,Marketing,Mensalidade
2024-06-17,Mdias,Impostos,IRPJ,Despesa,10470,RH,Lançamento
2024-01-25,Mdias,Receita de Serviços,Certificado Digital,Receita,16818,RH,Mensalidade
2024-03-28,Zov,Impostos,DAS,Despesa,7458,Comercial,Lançamento
2024-10-15,Mdias,Receita de Serviços,Contabilidade,Receita,15155,Marketing,Mensalidade
2024-11-25,Papaya,Receita de Serviços,BPO Financeiro,Receita,16689,Financeiro,Mensalidade
2024-11-16,Papaya,Marketing,Agência,Despesa,3577,Financeiro,Lançamento
2024-03-28,Papaya,Receita de Serviços,BPO RH,Receita,4457,RH,Mensalidade
2024-07-19,Papaya,Receita de Serviços,Certificado Digital,Despesa,10107,Marketing,Lançamento
2024-12-13,Zov,Receita de Serviços,Certificado Digital,Receita,4446,Operacional,Mensalidade
2024-03-11,Papaya,Pessoal,Benefícios,Despesa,2217,Marketing,Lançamento
2024-11-19,Papaya,Pessoal,Salários,Despesa,4634,RH,Lançamento
2024-05-25,Papaya,Receita de Serviços,Contabilidade,Despesa,7762,RH,Lançamento
2024-01-28,Papaya,Receita de Serviços,BPO Financeiro,Receita,9928,Financeiro,Mensalidade
2024-12-23,Zov,Operacional,Ferramentas,Despesa,1547,RH,Lançamento
2024-08-21,Papaya,Receita de Serviços,BPO RH,Despesa,943,Marketing,Lançamento
2024-08-28,Zov,Pessoal,Benefícios,Despesa,2076,Operacional,Lançamento
2024-02-23,Papaya,Receita de Serviços,Certificado Digital,Receita,4167,Marketing,Mensalidade
2024-11-11,Zov,Operacional,Ferramentas,Despesa,302,Marketing,Lançamento
2024-05-19,Mdias,Marketing,Meta Ads,Despesa,9048,Operacional,Lançamento
2024-03-24,Mdias,Impostos,IRPJ,Despesa,8378,Operacional,Lançamento
2024-09-28,Papaya,Pessoal,Benefícios,Despesa,4186,Financeiro,Lançamento
2024-11-27,Zov,Receita de Serviços,BPO RH,Despesa,406,Marketing,Lançamento
2024-08-17,Zov,Receita de Serviços,BPO RH,Receita,14326,Comercial,Mensalidade
2024-05-19,Zov,Operacional,Infra,Despesa,9187,Comercial,Lançamento
2024-08-08,Mdias,Marketing,Eventos,Despesa,12173,Comercial,Lançamento
2024-12-13,Mdias,Pessoal,Salários,Despesa,6970,Marketing,Lançamento
2024-05-13,Papaya,Pessoal,Salários,Despesa,11710,Comercial,Lançamento
2024-04-22,Mdias,Marketing,Meta Ads,Despesa,2206,Financeiro,Lançamento
2024-06-04,Papaya,Impostos,INSS,Despesa,9857,RH,Lançamento
2024-01-03,Zov,Pessoal,Salários,Despesa,4293,Operacional,Lançamento
2024-01-20,Zov,Receita de Serviços,BPO Financeiro,Receita,8856,Comercial,Mensalidade
2024-02-20,Mdias,Marketing,Meta Ads,Despesa,328,Comercial,Lançamento
2024-03-20,Zov,Operacional,Fornecedor,Despesa,2678,Financeiro,Lançamento
2024-12-09,Papaya,Receita de Serviços,BPO Financeiro,Receita,7488,Operacional,Mensalidade
2024-08-19,Mdias,Receita de Serviços,BPO RH,Despesa,6632,Marketing,Lançamento
2024-01-06,Papaya,Receita de Serviços,Contabilidade,Receita,13148,Comercial,Mensalidade
2024-04-26,Zov,Receita de Serviços,Contabilidade,Receita,9591,Financeiro,Mensalidade
